month,retailer_id,product,units_sold
2025-10,R0009,Karate Zeon Insecticide,49
2025-09,R0009,Karate Zeon Insecticide,56
2025-08,R0009,Karate Zeon Insecticide,46
2025-07,R0009,Karate Zeon Insecticide,42
2025-06,R0009,Karate Zeon Insecticide,42
2026-05,R0009,Cruiser Seed Treatment,38
2026-04,R0009,Cruiser Seed Treatment,41
2026-03,R0009,Cruiser Seed Treatment,69
2026-01,R0009,Cruiser Seed Treatment,95
2026-01,R0009,Cruiser Seed Treatment,72
2025-12,R0009,Cruiser Seed Treatment,121
2025-11,R0009,Cruiser Seed Treatment,93
2025-10,R0009,Cruiser Seed Treatment,68
2025-09,R0009,Cruiser Seed Treatment,76
2025-08,R0009,Cruiser Seed Treatment,43
2025-07,R0009,Cruiser Seed Treatment,37
2025-06,R0009,Cruiser Seed Treatment,28
2026-05,R0010,Amistar Top Fungicide,41
2026-04,R0010,Amistar Top Fungicide,84
2026-03,R0010,Amistar Top Fungicide,70
2026-01,R0010,Amistar Top Fungicide,123
2026-01,R0010,Amistar Top Fungicide,86
2025-12,R0010,Amistar Top Fungicide,96
2025-11,R0010,Amistar Top Fungicide,94
2025-10,R0010,Amistar Top Fungicide,115
2025-09,R0010,Amistar Top Fungicide,82
2025-08,R0010,Amistar Top Fungicide,48
2025-07,R0010,Amistar Top Fungicide,29
2025-06,R0010,Amistar Top Fungicide,28
2026-05,R0010,Karate Zeon Insecticide,52
2026-04,R0010,Karate Zeon Insecticide,38
2026-03,R0010,Karate Zeon Insecticide,77
2026-01,R0010,Karate Zeon Insecticide,128
2026-01,R0010,Karate Zeon Insecticide,77
2025-12,R0010,Karate Zeon Insecticide,116
2025-11,R0010,Karate Zeon Insecticide,83
2025-10,R0010,Karate Zeon Insecticide,49
2025-09,R0010,Karate Zeon Insecticide,70
2025-08,R0010,Karate Zeon Insecticide,64
2025-07,R0010,Karate Zeon Insecticide,53
2025-06,R0010,Karate Zeon Insecticide,45
2026-05,R0010,Cruiser Seed Treatment,47
2026-04,R0010,Cruiser Seed Treatment,58
2026-03,R0010,Cruiser Seed Treatment,97
2026-01,R0010,Cruiser Seed Treatment,115
2026-01,R0010,Cruiser Seed Treatment,97
2025-12,R0010,Cruiser Seed Treatment,130
2025-11,R0010,Cruiser Seed Treatment,71
2025-10,R0010,Cruiser Seed Treatment,72
2025-09,R0010,Cruiser Seed Treatment,62
2025-08,R0010,Cruiser Seed Treatment,66
2025-07,R0010,Cruiser Seed Treatment,67
2025-06,R0010,Cruiser Seed Treatment,54
2026-05,R0011,Tihan Insecticide,18
2026-04,R0011,Tihan Insecticide,19
2026-03,R0011,Tihan Insecticide,26
2026-01,R0011,Tihan Insecticide,31
2026-01,R0011,Tihan Insecticide,40
2025-12,R0011,Tihan Insecticide,26
2025-11,R0011,Tihan Insecticide,27
2025-10,R0011,Tihan Insecticide,17
2025-09,R0011,Tihan Insecticide,39
2025-08,R0011,Tihan Insecticide,17
2025-07,R0011,Tihan Insecticide,15
2025-06,R0011,Tihan Insecticide,17
2026-05,R0011,Polo Insecticide,21
2026-04,R0011,Polo Insecticide,18
2026-03,R0011,Polo Insecticide,25
2026-01,R0011,Polo Insecticide,25
2026-01,R0011,Polo Insecticide,22
2025-12,R0011,Polo Insecticide,36
2025-11,R0011,Polo Insecticide,30
2025-10,R0011,Polo Insecticide,28
2025-09,R0011,Polo Insecticide,28
2025-08,R0011,Polo Insecticide,20
2025-07,R0011,Polo Insecticide,18
2025-06,R0011,Polo Insecticide,12
2026-05,R0011,Cruiser Cotton Seed,12
2026-04,R0011,Cruiser Cotton Seed,18
2026-03,R0011,Cruiser Cotton Seed,24
2026-01,R0011,Cruiser Cotton Seed,34
2026-01,R0011,Cruiser Cotton Seed,21
2025-12,R0011,Cruiser Cotton Seed,37
2025-11,R0011,Cruiser Cotton Seed,24
2025-10,R0011,Cruiser Cotton Seed,29
2025-09,R0011,Cruiser Cotton Seed,24
2025-08,R0011,Cruiser Cotton Seed,10
2025-07,R0011,Cruiser Cotton Seed,11
2025-06,R0011,Cruiser Cotton Seed,12
2026-05,R0012,Amistar Top Fungicide,36
2026-04,R0012,Amistar Top Fungicide,37
2026-03,R0012,Amistar Top Fungicide,63
2026-01,R0012,Amistar Top Fungicide,82
2026-01,R0012,Amistar Top Fungicide,94
2025-12,R0012,Amistar Top Fungicide,78
2025-11,R0012,Amistar Top Fungicide,99
2025-10,R0012,Amistar Top Fungicide,72
2025-09,R0012,Amistar Top Fungicide,83
2025-08,R0012,Amistar Top Fungicide,45
2025-07,R0012,Amistar Top Fungicide,36
2025-06,R0012,Amistar Top Fungicide,29
2026-05,R0012,Karate Zeon Insecticide,34
2026-04,R0012,Karate Zeon Insecticide,66
2026-03,R0012,Karate Zeon Insecticide,56
2026-01,R0012,Karate Zeon Insecticide,97
2026-01,R0012,Karate Zeon Insecticide,77
2025-12,R0012,Karate Zeon Insecticide,121
2025-11,R0012,Karate Zeon Insecticide,116
2025-10,R0012,Karate Zeon Insecticide,74
2025-09,R0012,Karate Zeon Insecticide,96
2025-08,R0012,Karate Zeon Insecticide,72
2025-07,R0012,Karate Zeon Insecticide,51
2025-06,R0012,Karate Zeon Insecticide,40
2026-05,R0012,Cruiser Seed Treatment,41
2026-04,R0012,Cruiser Seed Treatment,40
2026-03,R0012,Cruiser Seed Treatment,44
2026-01,R0012,Cruiser Seed Treatment,66
2026-01,R0012,Cruiser Seed Treatment,109
2025-12,R0012,Cruiser Seed Treatment,74
2025-11,R0012,Cruiser Seed Treatment,91
2025-10,R0012,Cruiser Seed Treatment,60
2025-09,R0012,Cruiser Seed Treatment,48
2025-08,R0012,Cruiser Seed Treatment,97
2025-07,R0012,Cruiser Seed Treatment,43
2025-06,R0012,Cruiser Seed Treatment,51
2026-05,R0013,Amistar Top Fungicide,34
2026-04,R0013,Amistar Top Fungicide,48
2026-03,R0013,Amistar Top Fungicide,49
2026-01,R0013,Amistar Top Fungicide,64
2026-01,R0013,Amistar Top Fungicide,105
2025-12,R0013,Amistar Top Fungicide,67
2025-11,R0013,Amistar Top Fungicide,69
2025-10,R0013,Amistar Top Fungicide,68
2025-09,R0013,Amistar Top Fungicide,54
2025-08,R0013,Amistar Top Fungicide,30
2025-07,R0013,Amistar Top Fungicide,29
2025-06,R0013,Amistar Top Fungicide,30
2026-05,R0013,Karate Zeon Insecticide,49
2026-04,R0013,Karate Zeon Insecticide,45
2026-03,R0013,Karate Zeon Insecticide,58
2026-01,R0013,Karate Zeon Insecticide,79
2026-01,R0013,Karate Zeon Insecticide,76
2025-12,R0013,Karate Zeon Insecticide,66
2025-11,R0013,Karate Zeon Insecticide,120
2025-10,R0013,Karate Zeon Insecticide,76
2025-09,R0013,Karate Zeon Insecticide,72
2025-08,R0013,Karate Zeon Insecticide,46
2025-07,R0013,Karate Zeon Insecticide,38
2025-06,R0013,Karate Zeon Insecticide,38
2026-05,R0013,Cruiser Seed Treatment,41
2026-04,R0013,Cruiser Seed Treatment,54
2026-03,R0013,Cruiser Seed Treatment,80
2026-01,R0013,Cruiser Seed Treatment,122
2026-01,R0013,Cruiser Seed Treatment,101
2025-12,R0013,Cruiser Seed Treatment,113
2025-11,R0013,Cruiser Seed Treatment,61
2025-10,R0013,Cruiser Seed Treatment,67
2025-09,R0013,Cruiser Seed Treatment,46
2025-08,R0013,Cruiser Seed Treatment,59
2025-07,R0013,Cruiser Seed Treatment,37
2025-06,R0013,Cruiser Seed Treatment,28
2026-05,R0014,Callisto Herbicide,15
2026-04,R0014,Callisto Herbicide,14
2026-03,R0014,Callisto Herbicide,25
2026-01,R0014,Callisto Herbicide,29
2026-01,R0014,Callisto Herbicide,21
2025-12,R0014,Callisto Herbicide,35
2025-11,R0014,Callisto Herbicide,24
2025-10,R0014,Callisto Herbicide,26
2025-09,R0014,Callisto Herbicide,20
2025-08,R0014,Callisto Herbicide,14
2025-07,R0014,Callisto Herbicide,15
2025-06,R0014,Callisto Herbicide,12
2026-05,R0014,Force Insecticide,16
2026-04,R0014,Force Insecticide,15
2026-03,R0014,Force Insecticide,31
2026-01,R0014,Force Insecticide,26
2026-01,R0014,Force Insecticide,34
2025-12,R0014,Force Insecticide,25
2025-11,R0014,Force Insecticide,32
2025-10,R0014,Force Insecticide,17
2025-09,R0014,Force Insecticide,19
2025-08,R0014,Force Insecticide,15
2025-07,R0014,Force Insecticide,11
2025-06,R0014,Force Insecticide,12
2026-05,R0014,NK Maize Hybrid Seed,12
2026-04,R0014,NK Maize Hybrid Seed,26
2026-03,R0014,NK Maize Hybrid Seed,21
2026-01,R0014,NK Maize Hybrid Seed,20
2026-01,R0014,NK Maize Hybrid Seed,20
2025-12,R0014,NK Maize Hybrid Seed,32
2025-11,R0014,NK Maize Hybrid Seed,27
2025-10,R0014,NK Maize Hybrid Seed,22
2025-09,R0014,NK Maize Hybrid Seed,35
2025-08,R0014,NK Maize Hybrid Seed,13
2025-07,R0014,NK Maize Hybrid Seed,16
2025-06,R0014,NK Maize Hybrid Seed,18
2026-05,R0015,Amistar Top Fungicide,52
2026-04,R0015,Amistar Top Fungicide,49
2026-03,R0015,Amistar Top Fungicide,102
2026-01,R0015,Amistar Top Fungicide,117
2026-01,R0015,Amistar Top Fungicide,129
2025-12,R0015,Amistar Top Fungicide,110
2025-11,R0015,Amistar Top Fungicide,145
2025-10,R0015,Amistar Top Fungicide,118
2025-09,R0015,Amistar Top Fungicide,122
2025-08,R0015,Amistar Top Fungicide,83
2025-07,R0015,Amistar Top Fungicide,52
2025-06,R0015,Amistar Top Fungicide,38
2026-05,R0015,Karate Zeon Insecticide,90
2026-04,R0015,Karate Zeon Insecticide,79
2026-03,R0015,Karate Zeon Insecticide,98
2026-01,R0015,Karate Zeon Insecticide,133
2026-01,R0015,Karate Zeon Insecticide,152
2025-12,R0015,Karate Zeon Insecticide,100
2025-11,R0015,Karate Zeon Insecticide,154
2025-10,R0015,Karate Zeon Insecticide,102
2025-09,R0015,Karate Zeon Insecticide,62
2025-08,R0015,Karate Zeon Insecticide,56
2025-07,R0015,Karate Zeon Insecticide,46
2025-06,R0015,Karate Zeon Insecticide,46
2026-05,R0015,Cruiser Seed Treatment,50
2026-04,R0015,Cruiser Seed Treatment,104
2026-03,R0015,Cruiser Seed Treatment,54
2026-01,R0015,Cruiser Seed Treatment,123
2026-01,R0015,Cruiser Seed Treatment,89
2025-12,R0015,Cruiser Seed Treatment,152
2025-11,R0015,Cruiser Seed Treatment,98
2025-10,R0015,Cruiser Seed Treatment,87
2025-09,R0015,Cruiser Seed Treatment,88
2025-08,R0015,Cruiser Seed Treatment,60
2025-07,R0015,Cruiser Seed Treatment,64
2025-06,R0015,Cruiser Seed Treatment,51
2026-05,R0016,Amistar Top Fungicide,32
2026-04,R0016,Amistar Top Fungicide,40
2026-03,R0016,Amistar Top Fungicide,47
2026-01,R0016,Amistar Top Fungicide,64
2026-01,R0016,Amistar Top Fungicide,60
2025-12,R0016,Amistar Top Fungicide,69
2025-11,R0016,Amistar Top Fungicide,81
2025-10,R0016,Amistar Top Fungicide,39
2025-09,R0016,Amistar Top Fungicide,64
2025-08,R0016,Amistar Top Fungicide,22
2025-07,R0016,Amistar Top Fungicide,29
2025-06,R0016,Amistar Top Fungicide,37
2026-05,R0016,Karate Zeon Insecticide,31
2026-04,R0016,Karate Zeon Insecticide,32
2026-03,R0016,Karate Zeon Insecticide,42
2026-01,R0016,Karate Zeon Insecticide,78
2026-01,R0016,Karate Zeon Insecticide,54
2025-12,R0016,Karate Zeon Insecticide,64
2025-11,R0016,Karate Zeon Insecticide,98
2025-10,R0016,Karate Zeon Insecticide,62
2025-09,R0016,Karate Zeon Insecticide,66
2025-08,R0016,Karate Zeon Insecticide,47
2025-07,R0016,Karate Zeon Insecticide,31
2025-06,R0016,Karate Zeon Insecticide,30
2026-05,R0016,Cruiser Seed Treatment,22
2026-04,R0016,Cruiser Seed Treatment,46
2026-03,R0016,Cruiser Seed Treatment,65
2026-01,R0016,Cruiser Seed Treatment,51
2026-01,R0016,Cruiser Seed Treatment,56
2025-12,R0016,Cruiser Seed Treatment,65
2025-11,R0016,Cruiser Seed Treatment,94
2025-10,R0016,Cruiser Seed Treatment,51
2025-09,R0016,Cruiser Seed Treatment,34
2025-08,R0016,Cruiser Seed Treatment,33
2025-07,R0016,Cruiser Seed Treatment,43
2025-06,R0016,Cruiser Seed Treatment,33
2026-05,R0017,Tihan Insecticide,40
2026-04,R0017,Tihan Insecticide,42
2026-03,R0017,Tihan Insecticide,63
2026-01,R0017,Tihan Insecticide,112
2026-01,R0017,Tihan Insecticide,113
2025-12,R0017,Tihan Insecticide,116
2025-11,R0017,Tihan Insecticide,46
2025-10,R0017,Tihan Insecticide,102
2025-09,R0017,Tihan Insecticide,83
2025-08,R0017,Tihan Insecticide,42
2025-07,R0017,Tihan Insecticide,38
2025-06,R0017,Tihan Insecticide,52
2026-05,R0017,Polo Insecticide,44
2026-04,R0017,Polo Insecticide,49
2026-03,R0017,Polo Insecticide,77
2026-01,R0017,Polo Insecticide,101
2026-01,R0017,Polo Insecticide,140
2025-12,R0017,Polo Insecticide,126
2025-11,R0017,Polo Insecticide,101
2025-10,R0017,Polo Insecticide,62
2025-09,R0017,Polo Insecticide,50
2025-08,R0017,Polo Insecticide,50
2025-07,R0017,Polo Insecticide,62
2025-06,R0017,Polo Insecticide,53
2026-05,R0017,Cruiser Cotton Seed,48
2026-04,R0017,Cruiser Cotton Seed,64
2026-03,R0017,Cruiser Cotton Seed,65
2026-01,R0017,Cruiser Cotton Seed,118
2026-01,R0017,Cruiser Cotton Seed,104
2025-12,R0017,Cruiser Cotton Seed,79
2025-11,R0017,Cruiser Cotton Seed,99
2025-10,R0017,Cruiser Cotton Seed,100
2025-09,R0017,Cruiser Cotton Seed,97
2025-08,R0017,Cruiser Cotton Seed,55
2025-07,R0017,Cruiser Cotton Seed,43
