date,retailer_id,district,tier,primary_crop,avg_monthly_sales_inr,credit_score,days_since_visit,recent_rain_7d_mm,recent_humidity_pct,pest_pressure_14d,label_order_next_7d
2026-04-21,R0002,Bellary,A,cotton,325929,55,5,7.3,58.4,0,0
2026-04-22,R0002,Bellary,A,cotton,325929,55,6,4.6,58.7,0,0
2026-04-23,R0002,Bellary,A,cotton,325929,55,7,2.5,58.4,0,0
2026-04-24,R0002,Bellary,A,cotton,325929,55,8,2.5,59.6,0,0
2026-04-25,R0002,Bellary,A,cotton,325929,55,9,0.5,60.2,0,0
2026-04-26,R0002,Bellary,A,cotton,325929,55,10,11.6,60.7,0,0
2026-04-27,R0002,Bellary,A,cotton,325929,55,11,11.6,61.0,0,0
2026-04-28,R0002,Bellary,A,cotton,325929,55,12,11.6,61.0,0,0
2026-04-29,R0002,Bellary,A,cotton,325929,55,13,11.6,61.0,0,1
2026-04-30,R0002,Bellary,A,cotton,325929,55,14,11.6,62.7,0,1
2026-05-01,R0002,Bellary,A,cotton,325929,55,15,13.0,61.4,0,1
2026-05-02,R0002,Bellary,A,cotton,325929,55,16,13.0,60.4,0,1
2026-05-03,R0002,Bellary,A,cotton,325929,55,17,2.1,59.0,0,1
2026-05-04,R0002,Bellary,A,cotton,325929,55,18,2.1,58.8,0,1
2026-05-05,R0002,Bellary,A,cotton,325929,55,19,18.4,59.5,0,1
2026-05-06,R0002,Bellary,A,cotton,325929,55,0,18.4,59.9,0,0
2026-05-07,R0002,Bellary,A,cotton,325929,55,1,18.4,58.7,0,0
2026-05-08,R0002,Bellary,A,cotton,325929,55,2,19.7,60.0,0,0
2026-05-09,R0002,Bellary,A,cotton,325929,55,3,27.7,61.5,0,1
2026-05-10,R0002,Bellary,A,cotton,325929,55,4,27.0,63.0,0,1
2026-05-11,R0002,Bellary,A,cotton,325929,55,5,27.0,64.0,0,1
2026-05-12,R0002,Bellary,A,cotton,325929,55,6,10.7,63.5,0,1
2026-05-13,R0002,Bellary,A,cotton,325929,55,7,10.7,63.7,0,1
2026-05-14,R0002,Bellary,A,cotton,325929,55,8,10.7,64.2,0,1
2026-05-15,R0002,Bellary,A,cotton,325929,55,9,8.0,63.0,0,1
2026-05-16,R0002,Bellary,A,cotton,325929,55,0,0.0,62.9,0,0
2026-05-17,R0002,Bellary,A,cotton,325929,55,1,11.9,62.8,0,0
2026-05-18,R0002,Bellary,A,cotton,325929,55,2,11.9,62.6,0,0
2026-05-19,R0002,Bellary,A,cotton,325929,55,3,11.9,62.7,0,0
2026-05-20,R0002,Bellary,A,cotton,325929,55,4,11.9,63.6,0,0
2026-05-21,R0002,Bellary,A,cotton,325929,55,5,11.9,64.6,0,0
2026-05-22,R0002,Bellary,A,cotton,325929,55,6,11.9,65.0,0,0
2026-03-24,R0003,Bellary,A,chilli,304951,91,6,2.8,52.1,0,1
2026-03-25,R0003,Bellary,A,chilli,304951,91,7,2.8,51.1,0,1
2026-03-26,R0003,Bellary,A,chilli,304951,91,0,2.8,51.0,0,0
2026-03-27,R0003,Bellary,A,chilli,304951,91,1,2.8,52.7,0,0
2026-03-28,R0003,Bellary,A,chilli,304951,91,2,0.0,53.0,0,0
2026-03-29,R0003,Bellary,A,chilli,304951,91,3,0.0,53.7,0,0
2026-03-30,R0003,Bellary,A,chilli,304951,91,4,0.0,54.9,0,0
2026-03-31,R0003,Bellary,A,chilli,304951,91,5,0.4,53.8,0,0
2026-04-01,R0003,Bellary,A,chilli,304951,91,6,0.4,55.1,0,0
2026-04-02,R0003,Bellary,A,chilli,304951,91,7,0.5,54.7,0,0
2026-04-03,R0003,Bellary,A,chilli,304951,91,8,0.5,53.7,0,0
2026-04-04,R0003,Bellary,A,chilli,304951,91,9,0.5,54.4,0,0
2026-04-05,R0003,Bellary,A,chilli,304951,91,10,0.5,54.8,0,0
2026-04-06,R0003,Bellary,A,chilli,304951,91,11,13.8,53.7,0,0
2026-04-07,R0003,Bellary,A,chilli,304951,91,12,13.4,54.6,0,0
2026-04-08,R0003,Bellary,A,chilli,304951,91,13,13.4,53.5,0,0
2026-04-09,R0003,Bellary,A,chilli,304951,91,14,13.3,53.6,0,0
2026-04-10,R0003,Bellary,A,chilli,304951,91,15,13.3,54.5,0,0
2026-04-11,R0003,Bellary,A,chilli,304951,91,16,39.1,53.3,0,0
2026-04-12,R0003,Bellary,A,chilli,304951,91,17,39.1,54.3,0,0
2026-04-13,R0003,Bellary,A,chilli,304951,91,18,25.8,55.4,0,0
2026-04-14,R0003,Bellary,A,chilli,304951,91,19,25.8,55.0,0,0
2026-04-15,R0003,Bellary,A,chilli,304951,91,20,28.5,55.5,0,0
2026-04-16,R0003,Bellary,A,chilli,304951,91,21,30.6,56.4,0,0
2026-04-17,R0003,Bellary,A,chilli,304951,91,22,30.6,55.9,0,0
2026-04-18,R0003,Bellary,A,chilli,304951,91,23,6.8,57.1,0,0
2026-04-19,R0003,Bellary,A,chilli,304951,91,24,7.3,56.7,0,0
2026-04-20,R0003,Bellary,A,chilli,304951,91,25,7.3,57.2,0,1
2026-04-21,R0003,Bellary,A,chilli,304951,91,26,7.3,58.4,0,1
2026-04-22,R0003,Bellary,A,chilli,304951,91,27,4.6,58.7,0,1
2026-04-23,R0003,Bellary,A,chilli,304951,91,28,2.5,58.4,0,1
2026-04-24,R0003,Bellary,A,chilli,304951,91,29,2.5,59.6,0,1
2026-04-25,R0003,Bellary,A,chilli,304951,91,30,0.5,60.2,0,1
2026-04-26,R0003,Bellary,A,chilli,304951,91,31,11.6,60.7,0,1
2026-04-27,R0003,Bellary,A,chilli,304951,91,0,11.6,61.0,0,1
2026-04-28,R0003,Bellary,A,chilli,304951,91,1,11.6,61.0,0,1
2026-04-29,R0003,Bellary,A,chilli,304951,91,0,11.6,61.0,0,0
2026-04-30,R0003,Bellary,A,chilli,304951,91,1,11.6,62.7,0,0
2026-05-01,R0003,Bellary,A,chilli,304951,91,2,13.0,61.4,0,0
2026-05-02,R0003,Bellary,A,chilli,304951,91,3,13.0,60.4,0,0
2026-05-03,R0003,Bellary,A,chilli,304951,91,4,2.1,59.0,0,0
2026-05-04,R0003,Bellary,A,chilli,304951,91,5,2.1,58.8,0,0
2026-05-05,R0003,Bellary,A,chilli,304951,91,6,18.4,59.5,0,0
2026-05-06,R0003,Bellary,A,chilli,304951,91,7,18.4,59.9,0,0
2026-05-07,R0003,Bellary,A,chilli,304951,91,8,18.4,58.7,0,0
2026-05-08,R0003,Bellary,A,chilli,304951,91,9,19.7,60.0,0,0
2026-05-09,R0003,Bellary,A,chilli,304951,91,10,27.7,61.5,0,0
2026-05-10,R0003,Bellary,A,chilli,304951,91,11,27.0,63.0,0,0
2026-05-11,R0003,Bellary,A,chilli,304951,91,12,27.0,64.0,0,0
2026-05-12,R0003,Bellary,A,chilli,304951,91,13,10.7,63.5,0,0
2026-05-13,R0003,Bellary,A,chilli,304951,91,14,10.7,63.7,0,0
2026-05-14,R0003,Bellary,A,chilli,304951,91,15,10.7,64.2,0,0
2026-05-15,R0003,Bellary,A,chilli,304951,91,16,8.0,63.0,0,0
2026-05-16,R0003,Bellary,A,chilli,304951,91,17,0.0,62.9,0,0
2026-05-17,R0003,Bellary,A,chilli,304951,91,18,11.9,62.8,0,0
2026-05-18,R0003,Bellary,A,chilli,304951,91,19,11.9,62.6,0,0
2026-05-19,R0003,Bellary,A,chilli,304951,91,20,11.9,62.7,0,0
2026-05-20,R0003,Bellary,A,chilli,304951,91,21,11.9,63.6,0,0
2026-05-21,R0003,Bellary,A,chilli,304951,91,22,11.9,64.6,0,0
2026-05-22,R0003,Bellary,A,chilli,304951,91,23,11.9,65.0,0,0
2026-03-24,R0004,Bellary,A,cotton,259949,50,6,2.8,52.1,0,0
2026-03-25,R0004,Bellary,A,cotton,259949,50,7,2.8,51.1,0,0
2026-03-26,R0004,Bellary,A,cotton,259949,50,8,2.8,51.0,0,0
2026-03-27,R0004,Bellary,A,cotton,259949,50,9,2.8,52.7,0,1
2026-03-28,R0004,Bellary,A,cotton,259949,50,10,0.0,53.0,0,1
2026-03-29,R0004,Bellary,A,cotton,259949,50,11,0.0,53.7,0,1
2026-03-30,R0004,Bellary,A,cotton,259949,50,12,0.0,54.9,0,1
2026-03-31,R0004,Bellary,A,cotton,259949,50,13,0.4,53.8,0,1
2026-04-01,R0004,Bellary,A,cotton,259949,50,14,0.4,55.1,0,1
2026-04-02,R0004,Bellary,A,cotton,259949,50,15,0.5,54.7,0,1
2026-04-03,R0004,Bellary,A,cotton,259949,50,0,0.5,53.7,0,0
2026-04-04,R0004,Bellary,A,cotton,259949,50,1,0.5,54.4,0,0
2026-04-05,R0004,Bellary,A,cotton,259949,50,2,0.5,54.8,0,0
2026-04-06,R0004,Bellary,A,cotton,259949,50,3,13.8,53.7,0,0
2026-04-07,R0004,Bellary,A,cotton,259949,50,4,13.4,54.6,0,0
2026-04-08,R0004,Bellary,A,cotton,259949,50,5,13.4,53.5,0,0
2026-04-09,R0004,Bellary,A,cotton,259949,50,6,13.3,53.6,0,0
2026-04-10,R0004,Bellary,A,cotton,259949,50,7,13.3,54.5,0,0
2026-04-11,R0004,Bellary,A,cotton,259949,50,8,39.1,53.3,0,0
2026-04-12,R0004,Bellary,A,cotton,259949,50,9,39.1,54.3,0,0
2026-04-13,R0004,Bellary,A,cotton,259949,50,10,25.8,55.4,0,0
2026-04-14,R0004,Bellary,A,cotton,259949,50,11,25.8,55.0,0,0
2026-04-15,R0004,Bellary,A,cotton,259949,50,12,28.5,55.5,0,0
2026-04-16,R0004,Bellary,A,cotton,259949,50,13,30.6,56.4,0,0
2026-04-17,R0004,Bellary,A,cotton,259949,50,14,30.6,55.9,0,0
2026-04-18,R0004,Bellary,A,cotton,259949,50,15,6.8,57.1,0,0
2026-04-19,R0004,Bellary,A,cotton,259949,50,16,7.3,56.7,0,0
2026-04-20,R0004,Bellary,A,cotton,259949,50,17,7.3,57.2,0,0
2026-04-21,R0004,Bellary,A,cotton,259949,50,18,7.3,58.4,0,0
2026-04-22,R0004,Bellary,A,cotton,259949,50,19,4.6,58.7,0,0
2026-04-23,R0004,Bellary,A,cotton,259949,50,20,2.5,58.4,0,0
2026-04-24,R0004,Bellary,A,cotton,259949,50,21,2.5,59.6,0,0
2026-04-25,R0004,Bellary,A,cotton,259949,50,22,0.5,60.2,0,0
2026-04-26,R0004,Bellary,A,cotton,259949,50,23,11.6,60.7,0,0
2026-04-27,R0004,Bellary,A,cotton,259949,50,24,11.6,61.0,0,0
2026-04-28,R0004,Bellary,A,cotton,259949,50,25,11.6,61.0,0,0
2026-04-29,R0004,Bellary,A,cotton,259949,50,26,11.6,61.0,0,0
2026-04-30,R0004,Bellary,A,cotton,259949,50,0,11.6,62.7,0,0
2026-05-01,R0004,Bellary,A,cotton,259949,50,1,13.0,61.4,0,0
2026-05-02,R0004,Bellary,A,cotton,259949,50,2,13.0,60.4,0,0
2026-05-03,R0004,Bellary,A,cotton,259949,50,3,2.1,59.0,0,0
2026-05-04,R0004,Bellary,A,cotton,259949,50,4,2.1,58.8,0,0
2026-05-05,R0004,Bellary,A,cotton,259949,50,5,18.4,59.5,0,0
2026-05-06,R0004,Bellary,A,cotton,259949,50,6,18.4,59.9,0,0
2026-05-07,R0004,Bellary,A,cotton,259949,50,7,18.4,58.7,0,0
2026-05-08,R0004,Bellary,A,cotton,259949,50,8,19.7,60.0,0,0
2026-05-09,R0004,Bellary,A,cotton,259949,50,9,27.7,61.5,0,0
2026-05-10,R0004,Bellary,A,cotton,259949,50,10,27.0,63.0,0,0
2026-05-11,R0004,Bellary,A,cotton,259949,50,11,27.0,64.0,0,0
2026-05-12,R0004,Bellary,A,cotton,259949,50,12,10.7,63.5,0,0
2026-05-13,R0004,Bellary,A,cotton,259949,50,13,10.7,63.7,0,1
2026-05-14,R0004,Bellary,A,cotton,259949,50,14,10.7,64.2,0,1
2026-05-15,R0004,Bellary,A,cotton,259949,50,15,8.0,63.0,0,1
2026-05-16,R0004,Bellary,A,cotton,259949,50,16,0.0,62.9,0,1
2026-05-17,R0004,Bellary,A,cotton,259949,50,17,11.9,62.8,0,1
2026-05-18,R0004,Bellary,A,cotton,259949,50,18,11.9,62.6,0,1
2026-05-19,R0004,Bellary,A,cotton,259949,50,19,11.9,62.7,0,1
2026-05-20,R0004,Bellary,A,cotton,259949,50,0,11.9,63.6,0,0
2026-05-21,R0004,Bellary,A,cotton,259949,50,1,11.9,64.6,0,0
2026-05-22,R0004,Bellary,A,cotton,259949,50,2,11.9,65.0,0,0
2026-03-24,R0005,Bellary,B,cotton,123707,71,56,2.8,52.1,0,0
2026-03-25,R0005,Bellary,B,cotton,123707,71,56,2.8,51.1,0,0
2026-03-26,R0005,Bellary,B,cotton,123707,71,56,2.8,51.0,0,0
2026-03-27,R0005,Bellary,B,cotton,123707,71,56,2.8,52.7,0,0
2026-03-28,R0005,Bellary,B,cotton,123707,71,56,0.0,53.0,0,0
2026-03-29,R0005,Bellary,B,cotton,123707,71,56,0.0,53.7,0,0
2026-03-30,R0005,Bellary,B,cotton,123707,71,56,0.0,54.9,0,0
2026-03-31,R0005,Bellary,B,cotton,123707,71,56,0.4,53.8,0,0
2026-04-01,R0005,Bellary,B,cotton,123707,71,56,0.4,55.1,0,0
2026-04-02,R0005,Bellary,B,cotton,123707,71,0,0.5,54.7,0,0
2026-04-03,R0005,Bellary,B,cotton,123707,71,0,0.5,53.7,0,0
2026-04-04,R0005,Bellary,B,cotton,123707,71,1,0.5,54.4,0,0
2026-04-05,R0005,Bellary,B,cotton,123707,71,2,0.5,54.8,0,0
2026-04-06,R0005,Bellary,B,cotton,123707,71,3,13.8,53.7,0,0
2026-04-07,R0005,Bellary,B,cotton,123707,71,4,13.4,54.6,0,0
2026-04-08,R0005,Bellary,B,cotton,123707,71,5,13.4,53.5,0,0
2026-04-09,R0005,Bellary,B,cotton,123707,71,0,13.3,53.6,0,0
2026-04-10,R0005,Bellary,B,cotton,123707,71,1,13.3,54.5,0,0
2026-04-11,R0005,Bellary,B,cotton,123707,71,2,39.1,53.3,0,0
2026-04-12,R0005,Bellary,B,cotton,123707,71,3,39.1,54.3,0,0
2026-04-13,R0005,Bellary,B,cotton,123707,71,4,25.8,55.4,0,0
2026-04-14,R0005,Bellary,B,cotton,123707,71,5,25.8,55.0,0,0
2026-04-15,R0005,Bellary,B,cotton,123707,71,6,28.5,55.5,0,0
2026-04-16,R0005,Bellary,B,cotton,123707,71,7,30.6,56.4,0,0
2026-04-17,R0005,Bellary,B,cotton,123707,71,8,30.6,55.9,0,0
2026-04-18,R0005,Bellary,B,cotton,123707,71,9,6.8,57.1,0,0
2026-04-19,R0005,Bellary,B,cotton,123707,71,10,7.3,56.7,0,0
2026-04-20,R0005,Bellary,B,cotton,123707,71,11,7.3,57.2,0,0
2026-04-21,R0005,Bellary,B,cotton,123707,71,12,7.3,58.4,0,0
2026-04-22,R0005,Bellary,B,cotton,123707,71,13,4.6,58.7,0,0
2026-04-23,R0005,Bellary,B,cotton,123707,71,14,2.5,58.4,0,0
2026-04-24,R0005,Bellary,B,cotton,123707,71,15,2.5,59.6,0,0
2026-04-25,R0005,Bellary,B,cotton,123707,71,16,0.5,60.2,0,0
2026-04-26,R0005,Bellary,B,cotton,123707,71,17,11.6,60.7,0,0
2026-04-27,R0005,Bellary,B,cotton,123707,71,18,11.6,61.0,0,0
2026-04-28,R0005,Bellary,B,cotton,123707,71,19,11.6,61.0,0,0
2026-04-29,R0005,Bellary,B,cotton,123707,71,20,11.6,61.0,0,0
2026-04-30,R0005,Bellary,B,cotton,123707,71,21,11.6,62.7,0,0
2026-05-01,R0005,Bellary,B,cotton,123707,71,22,13.0,61.4,0,0
2026-05-02,R0005,Bellary,B,cotton,123707,71,23,13.0,60.4,0,0
2026-05-03,R0005,Bellary,B,cotton,123707,71,24,2.1,59.0,0,0
2026-05-04,R0005,Bellary,B,cotton,123707,71,25,2.1,58.8,0,0
2026-05-05,R0005,Bellary,B,cotton,123707,71,26,18.4,59.5,0,0
2026-05-06,R0005,Bellary,B,cotton,123707,71,27,18.4,59.9,0,0
2026-05-07,R0005,Bellary,B,cotton,123707,71,28,18.4,58.7,0,0
2026-05-08,R0005,Bellary,B,cotton,123707,71,29,19.7,60.0,0,0
2026-05-09,R0005,Bellary,B,cotton,123707,71,30,27.7,61.5,0,0
2026-05-10,R0005,Bellary,B,cotton,123707,71,31,27.0,63.0,0,0
2026-05-11,R0005,Bellary,B,cotton,123707,71,32,27.0,64.0,0,0
2026-05-12,R0005,Bellary,B,cotton,123707,71,33,10.7,63.5,0,0
2026-05-13,R0005,Bellary,B,cotton,123707,71,34,10.7,63.7,0,0
2026-05-14,R0005,Bellary,B,cotton,123707,71,35,10.7,64.2,0,0
2026-05-15,R0005,Bellary,B,cotton,123707,71,36,8.0,63.0,0,0
2026-05-16,R0005,Bellary,B,cotton,123707,71,37,0.0,62.9,0,0
2026-05-17,R0005,Bellary,B,cotton,123707,71,38,11.9,62.8,0,0
2026-05-18,R0005,Bellary,B,cotton,123707,71,39,11.9,62.6,0,0
2026-05-19,R0005,Bellary,B,cotton,123707,71,40,11.9,62.7,0,0
2026-05-20,R0005,Bellary,B,cotton,123707,71,41,11.9,63.6,0,0
2026-05-21,R0005,Bellary,B,cotton,123707,71,42,11.9,64.6,0,0
2026-05-22,R0005,Bellary,B,cotton,123707,71,43,11.9,65.0,0,0
2026-03-24,R0006,Bellary,A,chilli,239191,66,26,2.8,52.1,0,0
2026-03-25,R0006,Bellary,A,chilli,239191,66,27,2.8,51.1,0,0
2026-03-26,R0006,Bellary,A,chilli,239191,66,28,2.8,51.0,0,0
2026-03-27,R0006,Bellary,A,chilli,239191,66,29,2.8,52.7,0,0
2026-03-28,R0006,Bellary,A,chilli,239191,66,30,0.0,53.0,0,0
2026-03-29,R0006,Bellary,A,chilli,239191,66,31,0.0,53.7,0,0
2026-03-30,R0006,Bellary,A,chilli,239191,66,32,0.0,54.9,0,0
2026-03-31,R0006,Bellary,A,chilli,239191,66,33,0.4,53.8,0,0
2026-04-01,R0006,Bellary,A,chilli,239191,66,34,0.4,55.1,0,0
2026-04-02,R0006,Bellary,A,chilli,239191,66,35,0.5,54.7,0,0
2026-04-03,R0006,Bellary,A,chilli,239191,66,36,0.5,53.7,0,0
2026-04-04,R0006,Bellary,A,chilli,239191,66,37,0.5,54.4,0,0
2026-04-05,R0006,Bellary,A,chilli,239191,66,38,0.5,54.8,0,0
2026-04-06,R0006,Bellary,A,chilli,239191,66,39,13.8,53.7,0,0
2026-04-07,R0006,Bellary,A,chilli,239191,66,40,13.4,54.6,0,0
2026-04-08,R0006,Bellary,A,chilli,239191,66,41,13.4,53.5,0,0
2026-04-09,R0006,Bellary,A,chilli,239191,66,42,13.3,53.6,0,1
2026-04-10,R0006,Bellary,A,chilli,239191,66,43,13.3,54.5,0,1
2026-04-11,R0006,Bellary,A,chilli,239191,66,44,39.1,53.3,0,1
2026-04-12,R0006,Bellary,A,chilli,239191,66,45,39.1,54.3,0,1
2026-04-13,R0006,Bellary,A,chilli,239191,66,46,25.8,55.4,0,1
2026-04-14,R0006,Bellary,A,chilli,239191,66,47,25.8,55.0,0,1
2026-04-15,R0006,Bellary,A,chilli,239191,66,48,28.5,55.5,0,1
2026-04-16,R0006,Bellary,A,chilli,239191,66,0,30.6,56.4,0,0
2026-04-17,R0006,Bellary,A,chilli,239191,66,1,30.6,55.9,0,0
2026-04-18,R0006,Bellary,A,chilli,239191,66,2,6.8,57.1,0,0
2026-04-19,R0006,Bellary,A,chilli,239191,66,3,7.3,56.7,0,0
2026-04-20,R0006,Bellary,A,chilli,239191,66,4,7.3,57.2,0,0
2026-04-21,R0006,Bellary,A,chilli,239191,66,5,7.3,58.4,0,0
2026-04-22,R0006,Bellary,A,chilli,239191,66,6,4.6,58.7,0,0
2026-04-23,R0006,Bellary,A,chilli,239191,66,7,2.5,58.4,0,0
2026-04-24,R0006,Bellary,A,chilli,239191,66,8,2.5,59.6,0,0
2026-04-25,R0006,Bellary,A,chilli,239191,66,9,0.5,60.2,0,0
2026-04-26,R0006,Bellary,A,chilli,239191,66,10,11.6,60.7,0,0
2026-04-27,R0006,Bellary,A,chilli,239191,66,11,11.6,61.0,0,0
2026-04-28,R0006,Bellary,A,chilli,239191,66,12,11.6,61.0,0,0
2026-04-29,R0006,Bellary,A,chilli,239191,66,13,11.6,61.0,0,0
